"AHLRICHS_PVDZ.0","AHLRICHS_PVDZ","ahlrichs/bse_v0/ahlrichs/AHLRICHS_PVDZ.0.element.json"
"AHLRICHS_TZV.0","AHLRICHS_TZV","ahlrichs/bse_v0/ahlrichs/AHLRICHS_TZV.0.element.json"
"AHLRICHS_VDZ.0","AHLRICHS_VDZ","ahlrichs/bse_v0/ahlrichs/AHLRICHS_VDZ.0.element.json"
"AHLRICHS_VTZ.0","AHLRICHS_VTZ","ahlrichs/bse_v0/ahlrichs/AHLRICHS_VTZ.0.element.json"
"def2-ECP.1","def2-ECP","ahlrichs/def2-ECP.1.element.json"
"def2-ECP.1","def2-ECP","ahlrichs/def2-ECP.1.element.json"
"def2-mtzvp.1","def2-mtzvp","ahlrichs/def2-mtzvp.1.element.json"
"def2-mtzvpp.1","def2-mtzvpp","ahlrichs/def2-mtzvpp.1.element.json"
"def2-mtzvpp-rij.1","def2-mtzvpp-rij","ahlrichs/def2-mtzvpp-rij.1.element.json"
"def2-QZVP.0","def2-QZVP","ahlrichs/bse_v0/def2-QZVP.0.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/bse_v0/def2-QZVPD.0.element.json"
"def2-QZVPD.0","def2-QZVPD","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPD.1","def2-QZVPD","ahlrichs/def2-QZVPD.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPD.1","def2-QZVPD","ahlrichs/def2-QZVPD.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/bse_v0/def2-QZVPP.0.element.json"
"def2-QZVPP.0","def2-QZVPP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPP.1","def2-QZVPP","ahlrichs/def2-QZVPP.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPP.1","def2-QZVPP","ahlrichs/def2-QZVPP.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/bse_v0/def2-QZVPD.0.element.json"
"def2-QZVPD.0","def2-QZVPD","ahlrichs/bse_v0/def2-QZVPPD.0.element.json"
"def2-QZVPD.1","def2-QZVPD","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPP.1","def2-QZVPP","ahlrichs/def2-QZVPD.1.element.json"
"def2-QZVPPD.0","def2-QZVPPD","ahlrichs/def2-QZVPP.1.element.json"
"def2-QZVPPD.1","def2-QZVPPD","ahlrichs/def2-QZVPPD.1.element.json"
"def2-QZVP.1","def2-QZVP","ahlrichs/def2-QZVP.1.element.json"
"def2-QZVPD.1","def2-QZVPD","ahlrichs/def2-QZVPD.1.element.json"
"def2-QZVPP.1","def2-QZVPP","ahlrichs/def2-QZVPP.1.element.json"
"def2-QZVPPD.1","def2-QZVPPD","ahlrichs/def2-QZVPPD.1.element.json"
"def2-SV(P).0","def2-SV(P)","ahlrichs/bse_v0/def2-SV(P).0.element.json"
"def2-SV(P).1","def2-SV(P)","ahlrichs/def2-SV(P).1.element.json"
"def2-SV(P).0","def2-SV(P)","ahlrichs/bse_v0/def2-SV(P).0.element.json"
"def2-SV(P).1","def2-SV(P)","ahlrichs/def2-SV(P).1.element.json"
"def2-SVP.1","def2-SVP","ahlrichs/def2-SVP.1.element.json"
"def2-SV(P).1","def2-SV(P)","ahlrichs/def2-SV(P).1.element.json"
"def2-SV(P).1","def2-SV(P)","ahlrichs/def2-SV(P).1.element.json"
"def2-SVP.1","def2-SVP","ahlrichs/def2-SVP.1.element.json"
"def2-SVPD.0","def2-SVPD","ahlrichs/bse_v0/def2-SVPD.0.element.json"
"def2-SVPD.1","def2-SVPD","ahlrichs/def2-SVPD.1.element.json"
"def2-SVPD.1","def2-SVPD","ahlrichs/def2-SVPD.1.element.json"
"def2-TZVP.0","def2-TZVP","ahlrichs/bse_v0/def2-TZVP.0.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVP.0","def2-TZVP","ahlrichs/bse_v0/def2-TZVP.0.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/bse_v0/def2-TZVPD.0.element.json"
"def2-TZVPD.0","def2-TZVPD","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPD.1","def2-TZVPD","ahlrichs/def2-TZVPD.1.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPD.1","def2-TZVPD","ahlrichs/def2-TZVPD.1.element.json"
"def2-TZVP.0","def2-TZVP","ahlrichs/bse_v0/def2-TZVP.0.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPP.1","def2-TZVPP","ahlrichs/def2-TZVPP.1.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPP.1","def2-TZVPP","ahlrichs/def2-TZVPP.1.element.json"
"def2-TZVP.0","def2-TZVP","ahlrichs/bse_v0/def2-TZVP.0.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/bse_v0/def2-TZVPPD.0.element.json"
"def2-TZVPD.1","def2-TZVPD","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPP.1","def2-TZVPP","ahlrichs/def2-TZVPD.1.element.json"
"def2-TZVPPD.0","def2-TZVPPD","ahlrichs/def2-TZVPP.1.element.json"
"def2-TZVPPD.1","def2-TZVPPD","ahlrichs/def2-TZVPPD.1.element.json"
"def2-TZVP.1","def2-TZVP","ahlrichs/def2-TZVP.1.element.json"
"def2-TZVPD.1","def2-TZVPD","ahlrichs/def2-TZVPD.1.element.json"
"def2-TZVPP.1","def2-TZVPP","ahlrichs/def2-TZVPP.1.element.json"
"def2-TZVPPD.1","def2-TZVPPD","ahlrichs/def2-TZVPPD.1.element.json"
